都道府県名,重要地
北海道,江別、千歳、札幌、岩見沢、滝川、深川、小樽、倶知安、函館、長万部、江差、苫小牧、室蘭、浦河、旭川、士別、名寄、留萌、稚内、網走、北見、紋別、帯広、釧路、根室、日高、富良野、枝幸、弟子屈
青森県,青森、八戸、弘前、十和田、むつ、五所川原
岩手県,盛岡、一関、釜石、北上、宮古、久慈、二戸、大船渡、花巻、奥州
宮城県,仙台、石巻、大崎、気仙沼、白石
秋田県,秋田、大館、能代、由利本荘、大仙、横手、湯沢
山形県,山形、米沢、新庄、酒田、鶴岡
福島県,福島、郡山、白河、会津若松、いわき、南相馬、相馬、南会津
茨城県,鹿嶋、古河、筑西、土浦、日立、水戸
栃木県,足利、宇都宮、小山、日光、那須塩原
群馬県,桐生、渋川、高崎、沼田、前橋、草津
埼玉県,さいたま、春日部、川越、熊谷、秩父、草加、所沢、東松山
千葉県,柏、木更津、千葉、成田
東京都,浅草橋、池袋、上野、五反田、新宿、渋谷、品川、巣鴨、日本橋、八王子
神奈川県,厚木、小田原、相模原、横須賀、横浜、川崎
新潟県,村上、新潟、長岡、上越、糸魚川、南魚沼、三条、十日町
富山県,魚津、富山、高岡、砺波
石川県,小松、金沢、七尾、輪島
福井県,福井、敦賀
山梨県,大月、甲府、韮崎、富士吉田、身延
長野県,飯田、上田、小諸、塩尻、諏訪、長野、松本
岐阜県,岐阜、高山、大垣、美濃加茂、多治見
静岡県,静岡、浜松、沼津、御前崎
愛知県,名古屋、豊橋、豊田
三重県,津、四日市、伊勢、尾鷲、伊賀、松阪
滋賀県,大津
京都府,福知山、舞鶴、京都、堀川五条
大阪府,大阪、梅田新道、難波、大阪港、南港、深江橋、堺
兵庫県,神戸、姫路、豊岡、洲本、三宮、神戸
奈良県,奈良、大和郡山、天理、橿原、大和高田、五條
和歌山県,和歌山、田辺、新宮
鳥取県,米子、倉吉、鳥取
島根県,出雲、益田、大田、松江、浜田
岡山県,津山、新見、岡山
広島県,広島、福山、三次
山口県,山口、宇部、周南、岩国、萩、下関
徳島県,徳島、三好市、つるぎ
香川県,高松
愛媛県,松山、今治、宇和島、西条、大洲
高知県,高知、室戸、四万十市、須崎、足摺岬
福岡県,福岡、久留米、大牟田、飯塚、北九州
佐賀県,唐津、鳥栖、武雄、佐賀、伊万里
長崎県,佐世保、諫早、島原、大村、長崎
熊本県,八代、人吉、水俣、天草、宇土、熊本、荒尾
大分県,中津、日田、佐伯、大分、宇佐、別府
宮崎県,都城、延岡、日南、小林、宮崎
鹿児島県,薩摩川内、鹿屋、枕崎、霧島、鹿児島
沖縄県,辺戸岬、沖縄、那覇、名護、海洋博公園
